Sample	posterior	likelihood	prior	pop0.theta	pop1.theta	pop12.theta	TreeHeightLogger	freqParameter.A	freqParameter.C	freqParameter.G	freqParameter.T	rate.AC	rate.AG	rate.AT	rate.CG	rate.GT	mutationRate
14000	-214844.9883	-214826.7329	-18.25538766	0.209762375	0.05704923	0.061517894	0.005466763	0.256563574	0.200344084	0.273570164	0.269522178	0.246503914	0.898952917	0.313171375	0.884247571	0.993301213	1
15000	-214845.3404	-214826.9336	-18.4067763	0.212051941	0.057576293	0.060995994	0.005806321	0.275703101	0.242958231	0.229440174	0.251898494	0.066708729	1.293865766	0.630763567	0.89695784	0.722817613	1
16000	-214844.7838	-214827.5781	-17.20570765	0.232788284	0.058699323	0.059802316	0.005670726	0.275703101	0.159216301	0.268385679	0.296694919	0.015799193	2.045866827	0.907517761	1.159388802	1.836055899	1
17000	-214847.9656	-214829.6987	-18.26692656	0.226537476	0.057111521	0.062289064	0.005961175	0.310527594	0.171542516	0.230276029	0.28765386	0.015799193	0.825567074	0.317578894	1.586374863	1.349090363	1
18000	-214845.0583	-214827.1738	-17.88448327	0.208474996	0.060297002	0.059646493	0.00586519	0.246402614	0.204823596	0.230276029	0.318497761	0.19486174	0.645834264	0.146726597	3.12136867	1.023298881	1
19000	-214848.5191	-214829.4768	-19.0423812	0.239236002	0.056362438	0.063860041	0.005360437	0.285845921	0.195330721	0.200325598	0.318497761	0.19486174	2.10398332	0.165095488	1.903024293	0.724365374	1
20000	-214853.8845	-214829.4854	-24.39907888	0.237006795	0.057238952	0.063622453	0.005762463	0.285845921	0.155225227	0.254201779	0.304727074	0.02640508	2.202083565	0.052507194	0.31321265	0.141062696	1
21000	-214845.1324	-214826.4823	-18.650087	0.207084039	0.059351192	0.061119862	0.005593664	0.285845921	0.164321893	0.268229025	0.281603162	0.020388373	2.202083565	0.035430869	1.27421844	0.143578892	1
22000	-214844.6987	-214826.6835	-18.01516646	0.223611718	0.061359979	0.061698025	0.00583866	0.263181215	0.144133448	0.328910534	0.263774803	0.009027051	2.202083565	0.009835196	0.612870839	0.139969362	1
23000	-214844.8585	-214827.4571	-17.40140172	0.210997461	0.062707421	0.061234458	0.005932599	0.333948283	0.133179539	0.269097375	0.263774803	0.00911584	3.242533214	0.035268505	0.640526006	0.035439701	1
24000	-214847.0783	-214828.4876	-18.59068755	0.209361289	0.059111534	0.060305891	0.006034062	0.385367877	0.149340826	0.214138967	0.251152331	0.002382933	1.16133794	0.268770665	0.559555069	0.035439701	1
25000	-214846.9689	-214827.4553	-19.51352594	0.237413108	0.058429648	0.061600202	0.005773258	0.341979465	0.192729237	0.214138967	0.251152331	0.002524698	0.804655228	0.505925311	0.401736079	0.056772315	1
26000	-214848.2586	-214828.6546	-19.60401914	0.225631369	0.055891357	0.064750704	0.005427032	0.316963488	0.173107154	0.233251797	0.276677561	0.002374048	0.413799809	0.505925311	1.361797371	0.653413422	1
27000	-214844.3646	-214827.101	-17.26358222	0.20405934	0.059922117	0.060182579	0.005775071	0.276148077	0.155334271	0.291840091	0.276677561	9.40E-04	0.413799809	0.185055394	1.233866914	0.388402042	1
28000	-214843.8021	-214826.5059	-17.29617733	0.217237896	0.058353435	0.062982399	0.005744437	0.302549928	0.150646797	0.270125714	0.276677561	0.002568238	0.498994583	0.050559687	0.886416882	0.901186499	1
29000	-214845.5503	-214828.1704	-17.37993883	0.223678159	0.060599862	0.058863869	0.006008268	0.302549928	0.201830253	0.260451314	0.235168505	0.004132327	0.695846434	0.326287464	0.787089447	2.261179004	1
30000	-214846.6939	-214828.5623	-18.13157932	0.202315403	0.057841532	0.063346861	0.005795524	0.302549928	0.182507601	0.270924333	0.244018139	0.004879959	0.916092038	0.244685519	0.96358229	1.520445252	1
31000	-214845.4824	-214827.6311	-17.85137517	0.220745934	0.058417348	0.059598175	0.005572376	0.244889579	0.177832595	0.293549824	0.283728002	0.026542337	1.176694879	0.244685519	1.334193434	0.637639348	1
32000	-214844.1773	-214826.724	-17.45326537	0.227676582	0.059622345	0.060249124	0.005870647	0.244889579	0.177832595	0.293549824	0.283728002	0.036374669	0.703956794	0.456720397	1.24659097	0.656802162	1
33000	-214845.6343	-214827.3735	-18.26085473	0.210706396	0.062789325	0.060859345	0.005870854	0.244889579	0.177832595	0.25436571	0.322912116	0.018337286	0.257097743	0.201246243	0.216792363	0.307858494	1
34000	-214845.6888	-214827.8095	-17.87931302	0.214697374	0.05909213	0.063106948	0.005386486	0.244889579	0.127720645	0.304477659	0.322912116	0.017783772	0.798686003	0.166194128	0.0866863	0.549770403	1
35000	-214844.5201	-214826.7533	-17.76679481	0.233182009	0.059089833	0.061637372	0.005760285	0.244889579	0.127720645	0.304477659	0.322912116	0.013263433	1.791473409	0.454152953	0.015519112	0.521121256	1
36000	-214851.5583	-214828.3297	-23.22860797	0.226486351	0.062944844	0.06168958	0.005952212	0.264008669	0.176443993	0.312882765	0.246664574	0.076535348	1.346366117	1.568441027	0.023609083	0.521121256	1
37000	-214844.9141	-214827.4938	-17.420289	0.214670102	0.059008599	0.06088219	0.005985623	0.300803907	0.176443993	0.261456008	0.261296092	0.076535348	3.36192951	1.57668992	0.622441218	0.754782859	1
38000	-214845.8983	-214828.4727	-17.42561685	0.210005275	0.056309297	0.06080044	0.00536193	0.318467119	0.158351089	0.287169484	0.236012308	0.070667851	1.501741923	1.039743364	1.316127079	1.80935972	1
39000	-214843.135	-214826.0071	-17.12791327	0.222810829	0.057556951	0.061565061	0.005581189	0.262629026	0.168682387	0.287169484	0.281519103	0.014659634	1.228961187	0.132265561	0.546361627	2.17604114	1
40000	-214845.0584	-214826.3815	-18.67683279	0.224824288	0.059683136	0.061162686	0.005604504	0.262629026	0.185648887	0.270202984	0.281519103	0.025785961	0.981282615	0.680479474	0.481073381	2.17604114	1
41000	-214845.3806	-214827.6746	-17.70596886	0.22032223	0.056080928	0.06069459	0.005696388	0.262629026	0.199309068	0.270202984	0.267858922	0.025785961	0.850956096	0.532069826	0.481073381	1.198434286	1
42000	-214845.0912	-214826.6208	-18.47038189	0.214345842	0.059043222	0.063177916	0.005743201	0.262629026	0.199309068	0.270202984	0.267858922	0.146770804	0.772339897	0.217770201	1.206543449	0.765892553	1
43000	-214846.0857	-214827.4648	-18.62095623	0.228349178	0.057489549	0.060111213	0.005775319	0.344610262	0.140899047	0.270202984	0.244287708	0.096366401	0.703705235	0.371512096	1.074455434	0.506077179	1
44000	-214843.8222	-214826.6433	-17.1788935	0.209095625	0.057105243	0.062324507	0.005438291	0.399328059	0.140899047	0.215485186	0.244287708	0.031911826	0.294283292	0.11979281	1.094845474	0.942266773	1
45000	-214846.7256	-214826.2941	-20.43143357	0.226448627	0.057720123	0.061017869	0.005640198	0.336487161	0.219630098	0.199595033	0.244287708	0.035990922	0.133754635	0.135583488	0.937859371	0.942266773	1
46000	-214844.6275	-214827.7062	-16.92132232	0.231532357	0.0555754	0.062746638	0.005451329	0.306866073	0.219630098	0.187140123	0.286363706	0.016337525	0.610608479	0.11291179	0.301421324	0.942266773	1
47000	-214848.9661	-214828.4736	-20.49249994	0.22426582	0.054149903	0.062760665	0.005372343	0.380361586	0.142272029	0.21491615	0.262450236	0.010629573	1.076396622	0.111505805	0.172228876	0.749557699	1
48000	-214846.1975	-214828.4039	-17.79358871	0.22711903	0.056669771	0.06169053	0.005855026	0.27793769	0.159644246	0.30320688	0.259211183	0.010629573	0.724537612	0.302675024	1.330723755	0.504954972	1
49000	-214844.1201	-214826.2015	-17.91858057	0.20723717	0.059043174	0.062246925	0.005709716	0.27793769	0.159644246	0.260193543	0.302224521	0.010687159	0.724537612	0.302675024	1.959088317	0.497362406	1
50000	-214848.0144	-214830.6358	-17.3785564	0.201410668	0.059836701	0.058220298	0.005732863	0.27793769	0.186775935	0.209834811	0.325451564	0.019404359	1.445289591	0.649688498	3.152571371	0.243049089	1
51000	-214849.695	-214830.8009	-18.89408617	0.242132261	0.061676114	0.059145835	0.006133118	0.309429049	0.175982709	0.26571847	0.248869771	0.019404359	1.024579729	0.736809376	1.640474418	0.471871983	1
52000	-214846.5445	-214827.2806	-19.26383421	0.22998251	0.061441663	0.060922578	0.005734586	0.309429049	0.175982709	0.26571847	0.248869771	0.032297743	1.024579729	1.241005918	1.942905118	0.173576309	1
53000	-214847.9474	-214828.0661	-19.88123847	0.233832403	0.059230805	0.059270512	0.005804593	0.309429049	0.181149732	0.26571847	0.243702749	0.02993098	1.024579729	0.664543611	0.354310132	0.145820783	1
54000	-214844.6238	-214827.3098	-17.31398999	0.206006115	0.058297491	0.060053966	0.005666942	0.309429049	0.181149732	0.26571847	0.243702749	0.076441938	0.508036285	0.92119694	0.137307867	0.141152733	1
55000	-214845.4556	-214827.1448	-18.3107946	0.220865575	0.06064002	0.061839494	0.005968721	0.309429049	0.181149732	0.26571847	0.243702749	0.134936516	0.767809791	0.873305929	0.035375896	0.141614609	1
56000	-214845.8608	-214828.3612	-17.49964357	0.209482226	0.06068093	0.061462057	0.006076321	0.276813449	0.181792632	0.228298091	0.313095828	0.045340905	0.198338573	0.348218108	0.033502893	0.37131498	1
57000	-214847.8362	-214828.3846	-19.45159149	0.232345487	0.061467166	0.060921164	0.005623689	0.276813449	0.181792632	0.21613343	0.325260489	0.089422701	0.511517584	0.706165731	0.040355544	0.185936471	1
58000	-214849.7964	-214831.3388	-18.45755152	0.191326914	0.058122499	0.06247678	0.005889825	0.276813449	0.181792632	0.266871329	0.27452259	0.089422701	0.798000853	0.617204103	0.100426379	0.305167236	1
59000	-214847.919	-214829.5746	-18.34445557	0.241559101	0.056641427	0.060908018	0.005404868	0.276813449	0.181792632	0.231159637	0.310234282	0.018607695	0.710370119	0.728034256	0.17768864	0.324326174	1
60000	-214846.1408	-214829.3036	-16.83724255	0.217145071	0.056414742	0.064819124	0.005242988	0.278628443	0.181792632	0.229344643	0.310234282	0.046119312	0.710370119	0.373924369	0.566804714	0.20632701	1
61000	-214846.8224	-214829.136	-17.68638651	0.21941005	0.056382436	0.064716898	0.005254732	0.278628443	0.188091605	0.229344643	0.303935309	0.64773506	0.853177914	0.095095773	0.566804714	0.20632701	1
62000	-214843.9518	-214826.442	-17.50986356	0.211774138	0.061138323	0.060751017	0.005735988	0.278628443	0.141266093	0.271764998	0.308340466	0.526256698	2.071050846	0.048963206	0.916254493	0.450642975	1
63000	-214845.2863	-214827.8193	-17.46699195	0.222090727	0.061251672	0.062166934	0.005995646	0.26376342	0.174583664	0.258171591	0.303481326	1.191589072	2.380863281	0.046723321	0.933276772	1.223298343	1
64000	-214844.5244	-214826.3458	-18.17861117	0.217008581	0.06052985	0.062357858	0.005789283	0.26376342	0.174583664	0.312405679	0.249247238	1.106213613	2.380863281	0.046723321	2.511280379	0.293074336	1
65000	-214848.9749	-214828.3986	-20.5763585	0.204732264	0.054836712	0.062673695	0.005368468	0.303168049	0.174462826	0.273121886	0.249247238	0.32146789	2.274286081	0.035074097	2.511280379	0.137625413	1
66000	-214846.6764	-214827.8563	-18.82008422	0.222023732	0.061386368	0.059226217	0.006038472	0.255295444	0.174462826	0.315140828	0.255100902	0.048950785	3.701447433	0.070974945	0.683476407	0.36255274	1
67000	-214848.2571	-214829.4513	-18.80587415	0.23835228	0.06304007	0.060820822	0.005919144	0.296948723	0.174462826	0.240739587	0.287848864	0.012665317	5.445289558	0.099795861	0.258580459	0.36255274	1
68000	-214844.3026	-214826.3439	-17.95871141	0.217891524	0.057905815	0.063249577	0.005523416	0.296948723	0.174462826	0.240739587	0.287848864	0.002640718	2.901410585	0.085520371	2.031738813	0.274165095	1
69000	-214846.2183	-214826.6085	-19.60985835	0.216492196	0.059795258	0.063140624	0.00571745	0.312796655	0.210077632	0.285582831	0.191542883	0.003750427	3.036580784	0.085520371	4.197221197	0.556446798	1
70000	-214845.0763	-214826.414	-18.66236083	0.218820718	0.056722118	0.06163452	0.005659691	0.241795387	0.210077632	0.28759617	0.260530812	0.002930778	1.646137329	0.085520371	4.197221197	0.605115287	1
71000	-214843.129	-214826.2727	-16.85626591	0.22026059	0.058414554	0.061290151	0.005825198	0.226788012	0.210077632	0.292907484	0.270226872	5.35E-05	0.57558664	0.247568243	3.967250991	0.304094966	1
72000	-214847.973	-214830.5823	-17.39063799	0.187954413	0.060573827	0.061773282	0.005783992	0.262439405	0.166426559	0.220889474	0.350244562	1.51E-04	0.214812127	0.254547438	2.776554097	0.097732892	1
73000	-214847.1514	-214827.0132	-20.13817133	0.226571408	0.060516993	0.062065935	0.005888183	0.277798462	0.202053963	0.220889474	0.299258102	1.23E-04	3.172956049	0.377528596	2.776554097	0.25548464	1
74000	-214846.2654	-214826.0552	-20.21021435	0.216492869	0.059874688	0.060415526	0.005811657	0.277798462	0.181413197	0.220889474	0.319898868	3.13E-05	4.611971353	0.523629215	3.214771615	0.32978864	1
75000	-214845.8405	-214827.3435	-18.49699666	0.205898579	0.0585089	0.063140385	0.005429304	0.277798462	0.192077718	0.317665093	0.212458727	5.81E-05	0.607365528	0.323637048	0.969952	1.110035639	1
76000	-214843.8582	-214825.7886	-18.0696091	0.216042155	0.060037274	0.061692808	0.005723989	0.277798462	0.154792742	0.286657278	0.280751517	1.15E-04	1.124716402	0.193375425	0.564709437	1.110035639	1
77000	-214844.856	-214826.8035	-18.05253708	0.227741902	0.059117269	0.061387488	0.005883648	0.277798462	0.172804263	0.264548249	0.284849026	4.16E-04	0.848994379	0.427179583	1.192113561	0.32031257	1
78000	-214847.3258	-214829.7661	-17.55961606	0.217294619	0.057296344	0.061970874	0.005199843	0.277798462	0.172804263	0.264548249	0.284849026	0.001104224	0.131575123	0.427179583	1.532208545	0.370702735	1
79000	-214846.2508	-214828.3465	-17.90434569	0.20853093	0.055836101	0.063689229	0.005260248	0.277798462	0.172804263	0.264548249	0.284849026	8.41E-04	0.865552365	0.33594886	0.932296079	0.43701941	1
80000	-214845.1951	-214827.44	-17.75515532	0.205075037	0.056531628	0.063712057	0.005492176	0.244818711	0.176067473	0.247084749	0.332029066	4.77E-05	2.854882858	0.201932042	1.42784366	0.83054458	1
81000	-214844.2101	-214826.8022	-17.40791537	0.23236952	0.058964905	0.061275976	0.005601295	0.31983883	0.179276126	0.219548145	0.281336899	4.77E-05	5.921448382	0.176814561	0.916960813	1.450792276	1
82000	-214848.363	-214828.4257	-19.9373447	0.226640563	0.057465477	0.06464902	0.005493325	0.31983883	0.179276126	0.219548145	0.281336899	1.65E-04	3.577525351	0.156742447	0.843337979	1.450792276	1
83000	-214846.5752	-214827.7109	-18.86433187	0.209049031	0.060180876	0.059302679	0.005923466	0.31983883	0.179276126	0.24134726	0.259537784	1.71E-04	8.421316538	0.156742447	4.646897612	1.530579595	1
84000	-214849.8219	-214831.7169	-18.10500729	0.243157696	0.064063959	0.059237095	0.006087904	0.268935125	0.179276126	0.24134726	0.310441488	4.52E-05	7.763057427	0.220884828	4.692057528	1.377438583	1
85000	-214846.2296	-214826.9607	-19.26895037	0.22001781	0.057689201	0.06267458	0.005388413	0.293554499	0.213158898	0.238683686	0.254602917	3.23E-05	8.952847175	0.202149674	4.692057528	2.818205927	1
86000	-214849.0787	-214830.4445	-18.63425107	0.19565853	0.054594392	0.064112576	0.005315589	0.305451483	0.213158898	0.238683686	0.242705933	4.53E-05	3.980848687	0.181114213	4.692057528	1.48909761	1
87000	-214845.2009	-214827.2719	-17.92900757	0.217415598	0.056585745	0.063668988	0.005632773	0.318570517	0.175248617	0.263474933	0.242705933	1.23E-05	0.683120047	0.611436126	4.692057528	2.527385017	1
88000	-214844.4361	-214826.5753	-17.86078851	0.219121881	0.057727796	0.060300826	0.005632773	0.229771422	0.234422187	0.263474933	0.272331458	1.03E-05	0.984422865	0.434135473	2.52566946	3.896821647	1
89000	-214848.8839	-214827.2949	-21.58898232	0.22065646	0.055697677	0.061329947	0.005603263	0.275316354	0.234422187	0.217930001	0.272331458	1.40E-05	3.552773419	0.434135473	2.071709828	2.573816245	1
90000	-214844.8664	-214826.346	-18.52043052	0.218213201	0.060843594	0.060217828	0.005777659	0.317011758	0.220123308	0.217930001	0.244934932	2.12E-05	0.138529007	0.286962834	0.970717669	2.573816245	1
91000	-214843.7684	-214826.9019	-16.86650702	0.216931844	0.061723216	0.06082047	0.005976671	0.332278799	0.220123308	0.20266296	0.244934932	6.21E-06	2.327706442	0.233932353	0.751545937	2.573816245	1
92000	-214844.4599	-214827.3392	-17.12069643	0.214917138	0.058750117	0.060382002	0.005946147	0.3040226	0.220123308	0.298648809	0.177205284	6.21E-06	2.327706442	0.385255266	0.876216101	0.426674007	1
93000	-214846.1412	-214826.3783	-19.76294055	0.209476172	0.060977053	0.060903036	0.005821372	0.257701671	0.232631235	0.242665881	0.267001212	6.21E-06	1.15786768	0.294469928	0.876216101	0.336782366	1
94000	-214849.6457	-214828.9242	-20.7215323	0.196406932	0.059216221	0.063301197	0.005771144	0.297158393	0.193390508	0.243888552	0.265562547	2.22E-06	2.911908403	0.10728528	0.923039602	0.097265428	1
95000	-214854.1816	-214835.8778	-18.30379739	0.201679142	0.060106971	0.06176384	0.006373035	0.322012377	0.193390508	0.243888552	0.240708563	4.03E-06	3.516984401	0.030995399	1.626402604	0.051187198	1
96000	-214848.1234	-214826.6241	-21.49931529	0.222687636	0.058873875	0.060469948	0.005875633	0.325851498	0.188848975	0.244590964	0.240708563	1.31E-06	1.190004549	0.030995399	0.889232034	0.011961754	1
97000	-214843.8984	-214826.2594	-17.63901587	0.213094027	0.059658572	0.060300688	0.005819917	0.334270814	0.192181495	0.244590964	0.228956727	1.51E-07	0.594150155	0.03455007	0.528731598	0.012155391	1
98000	-214849.3417	-214831.6092	-17.7324989	0.187886645	0.056926601	0.060764868	0.005536167	0.25604951	0.192181495	0.229354432	0.322414562	9.41E-08	0.016455251	0.030785183	0.592431792	0.036414345	1
99000	-214845.044	-214827.5222	-17.52177738	0.206573716	0.056370045	0.063295042	0.005356351	0.273896265	0.174334741	0.229354432	0.322414562	6.19E-08	0.072385618	0.014336921	0.247851011	0.06366615	1
100000	-214843.7495	-214825.7234	-18.02608731	0.21565978	0.058031582	0.061753996	0.005658653	0.317919929	0.180265734	0.192102292	0.309712045	7.91E-08	0.384924126	0.001246969	0.247851011	0.053822201	1
101000	-214847.2539	-214827.2453	-20.00860741	0.225719484	0.062194655	0.060223314	0.005872839	0.271253752	0.180265734	0.224519903	0.323960611	1.76E-08	0.472675432	0.016906712	0.808544381	0.125435808	1
102000	-214845.0827	-214826.6073	-18.4754094	0.220314995	0.060396708	0.062481734	0.005825168	0.306140314	0.127287354	0.286583624	0.279988708	5.87E-09	1.172683863	0.007064902	1.018192102	0.016635995	1
103000	-214844.0295	-214826.935	-17.09444744	0.217139411	0.061028494	0.062709722	0.005678178	0.306140314	0.209574517	0.204296461	0.279988708	7.86E-10	0.749836783	0.007064902	0.885546751	0.008620055	1
104000	-214848.2189	-214828.2223	-19.99655447	0.212466385	0.060331125	0.060817964	0.006091498	0.306140314	0.182779943	0.238508098	0.272571644	3.98E-10	0.665510032	0.007123154	1.722632523	0.001973551	1
105000	-214844.3938	-214827.3449	-17.04888184	0.202920969	0.057954973	0.060771063	0.005563586	0.269543617	0.17236142	0.284184493	0.27391047	1.83E-09	0.914270781	0.010184978	1.722632523	0.003137917	1
106000	-214844.934	-214827.5891	-17.34485702	0.237453556	0.058020131	0.061314902	0.005543265	0.318882831	0.17236142	0.266003768	0.242751981	2.53E-08	0.914270781	0.005047243	2.024066593	0.002721728	1
107000	-214846.7393	-214829.4987	-17.24059949	0.210039523	0.058743748	0.064414306	0.005842795	0.260465801	0.19203084	0.219157393	0.328345966	4.75E-09	0.832236637	0.003032816	2.137283968	0.039498352	1
108000	-214846.8338	-214829.2205	-17.61324131	0.197252462	0.060246591	0.061421021	0.005473523	0.32709415	0.19203084	0.225293257	0.255581754	3.05E-08	0.530099883	0.013353464	1.082903613	0.19979465	1
109000	-214846.9432	-214827.8768	-19.06648153	0.232922586	0.060294282	0.060221607	0.005990944	0.32709415	0.168333916	0.225293257	0.279278678	2.72E-09	0.54089184	0.017997122	0.565225048	0.032211869	1
110000	-214843.9402	-214827.0162	-16.92402345	0.229504101	0.057793934	0.062986987	0.005686175	0.291723305	0.174075605	0.243488205	0.290712885	3.55E-09	0.552321933	0.013387823	0.565225048	0.049025091	1
111000	-214844.802	-214827.5237	-17.27827641	0.216894653	0.063102088	0.061001429	0.005884358	0.291723305	0.174075605	0.243488205	0.290712885	1.50E-09	1.206193638	0.009274125	0.273961163	0.124434579	1
112000	-214843.2271	-214825.8908	-17.33634614	0.217213277	0.05929556	0.061127329	0.005813002	0.291723305	0.174075605	0.226141357	0.308059733	5.94E-08	0.946763581	0.006512886	0.543295733	0.124434579	1
113000	-214848.8825	-214830.4041	-18.47844335	0.250195138	0.057380106	0.061448185	0.005443409	0.274784363	0.241778975	0.230721254	0.252715407	7.25E-08	0.228380838	0.003600798	0.02433846	0.344658349	1
114000	-214846.0597	-214827.1194	-18.94028497	0.226152531	0.061036306	0.060292137	0.005691553	0.267874616	0.206321117	0.273941209	0.251863059	9.70E-07	0.131259761	0.004242952	0.059768497	0.344658349	1
115000	-214845.8341	-214826.5482	-19.28598439	0.215022148	0.056852705	0.061910447	0.005436809	0.288899849	0.206321117	0.258627777	0.246151257	7.42E-06	2.119484905	0.004386752	0.093232879	0.390609723	1
116000	-214844.0345	-214825.7287	-18.30576923	0.220143585	0.058477308	0.061355859	0.005638421	0.348987344	0.178312158	0.258627777	0.214072721	7.42E-06	0.469258222	0.005375619	0.668581863	0.390609723	1
117000	-214847.9632	-214827.1624	-20.80083658	0.230396655	0.058832937	0.060248232	0.005863182	0.250890937	0.178312158	0.258627777	0.312169128	1.09E-05	0.284924905	0.010254499	0.157762927	1.284786107	1
118000	-214843.7251	-214826.7266	-16.99851537	0.223320025	0.0616271	0.060543716	0.005903413	0.279422076	0.178312158	0.320703252	0.221562514	1.92E-05	0.239019902	0.015929448	0.11908499	0.516247323	1
119000	-214846.6841	-214827.782	-18.90209211	0.206167689	0.057938699	0.062240299	0.005857576	0.311443048	0.146291186	0.319862924	0.222402842	5.65E-05	0.239019902	0.020856933	0.064476019	0.411332593	1
120000	-214845.4169	-214826.6088	-18.80809212	0.222214004	0.061021746	0.060053593	0.005787618	0.277870487	0.253655112	0.219125595	0.249348806	3.52E-05	0.183518822	0.020856933	0.14414686	0.04055823	1
121000	-214844.1693	-214826.4958	-17.67348191	0.228868023	0.0593643	0.062295885	0.005648923	0.294379076	0.253655112	0.223479208	0.228486604	1.86E-05	0.261377668	0.020856933	0.052349738	0.04055823	1
122000	-214847.0945	-214828.0473	-19.0472072	0.211226525	0.058313051	0.061799731	0.005337728	0.296266596	0.134717633	0.240515804	0.328499967	8.40E-05	0.261377668	0.033601581	0.690536311	0.01161447	1
123000	-214844.713	-214827.5967	-17.11628419	0.220161982	0.056496666	0.06358943	0.0056735	0.313027399	0.121305015	0.304042567	0.26162502	8.40E-05	0.236761589	0.028546892	0.690536311	0.022875731	1
124000	-214847.4533	-214827.6007	-19.85260127	0.208693335	0.056613396	0.060558441	0.005524591	0.314543448	0.121305015	0.304042567	0.26010897	2.89E-05	0.734831144	0.04782407	0.951701144	0.057146532	1
125000	-214847.497	-214826.3603	-21.13676149	0.214117938	0.057455271	0.063186229	0.005493289	0.269418024	0.153527938	0.271819643	0.305234395	1.54E-05	0.240866562	0.527118832	0.510307	0.024212313	1
126000	-214845.1916	-214827.0645	-18.12714626	0.223880538	0.061356535	0.06132697	0.00596381	0.269418024	0.153261264	0.342473113	0.234847599	1.54E-05	0.700054651	0.494278065	0.064917656	0.205011536	1
127000	-214846.5965	-214827.5504	-19.04609292	0.227872896	0.061656773	0.061254949	0.005678215	0.269418024	0.202958012	0.292776365	0.234847599	9.29E-05	0.700054651	0.235328947	0.064917656	0.710506806	1
128000	-214845.8024	-214829.0604	-16.7419611	0.226595853	0.063295077	0.061959746	0.005759375	0.269418024	0.179661708	0.298735087	0.252185182	5.72E-05	0.189634721	0.134920643	0.062992256	0.221350773	1
129000	-214845.2107	-214826.4507	-18.76001701	0.216082448	0.058785464	0.060231921	0.005627773	0.222981374	0.1964846	0.323469945	0.25706408	6.28E-05	0.209936756	0.123237427	0.022291063	0.109934035	1
130000	-214844.3778	-214827.047	-17.33085812	0.229119872	0.058629676	0.062394102	0.005814795	0.238203089	0.274716063	0.293215037	0.193865811	6.28E-05	0.991401566	0.123237427	0.552853023	0.034991925	1
131000	-214847.4971	-214826.7209	-20.77620024	0.215815536	0.061977211	0.060475123	0.005893865	0.238203089	0.145707955	0.32127586	0.294813096	8.75E-05	0.991401566	0.062524682	1.041344927	0.014860601	1
